,negative,positive,total
downplay,0,1,1
downstream,0,1,1
downtown,0,3,3
downwiththedemocrats,1,0,1
dozing,0,1,1
dr,0,11,11
draconian,0,1,1
draft,0,2,2
drafts,0,2,2
drag,0,2,2
dragon,1,1,2
drain,0,3,3
draining,1,0,1
drainthedeepstate,0,9,9
drainthedeepstateswamp,0,1,1
draintheswamp,1,6,7
drake,0,2,2
drama,0,3,3
dramatic,1,2,3
dramione,0,1,1
draw,0,4,4
drawing,1,1,2
drawn,0,1,1
dream,1,6,7
dreamdoll,0,1,1
dreamers,0,4,4
dreaming,0,1,1
dreams,0,3,3
dredge,0,1,1
dreg,0,1,1
dregofsociety,0,1,1
dregs,0,10,10
drellenbrandt,0,1,1
dress,0,1,1
dressed,0,1,1
dresses,0,2,2
drew,0,1,1
drills,0,1,1
drink,1,1,2
drinkers,0,1,1
drinking,0,7,7
drinks,0,1,1
drive,1,1,2
drivel,0,1,1
driver,0,3,3
drivers,1,0,1
drives,0,1,1
driving,0,2,2
drooping,1,0,1
drop,1,5,6
dropped,2,5,7
dropping,0,1,1
drops,1,0,1
droves,0,1,1
drown,0,3,3
drowning,0,1,1
drug,3,9,12
druggie,0,1,1
drugs,2,5,7
drum,0,1,1
drunk,2,14,16
drunkest,0,1,1
dry,1,4,5
dt,0,3,3
dubakoor,0,2,2
dubious,0,1,1
dublin,0,1,1
duck,0,4,4
duckduckgo,0,1,1
duct,0,1,1
dud,0,1,1
dude,2,19,21
dudes,1,0,1
due,2,13,15
dues,1,0,1
dull,0,1,1
duly,1,1,2
dumb,4,39,43
dumba,0,1,1
dumbaf,0,1,1
dumbass,1,3,4
dumbasses,0,2,2
dumber,0,6,6
dumbest,1,5,6
dumbfuck,0,1,1
dummies,1,0,1
dummy,0,1,1
dummydonniejr,0,1,1
dumocrat,0,1,1
dump,0,1,1
dumping,0,2,2
dumpster,0,2,2
duncan,0,1,1
dung,0,1,1
dunnit,0,1,1
dunt,0,1,1
dupe,0,1,1
dupes,0,1,1
durag,0,1,1
durbin,1,3,4
during,0,14,14
dustbin,0,1,1
duterte,0,1,1
duty,0,1,1
duuuueerrrrhhh,0,1,1
dweeb,0,1,1
dweller,1,0,1
dwp,0,2,2
dwpcrimes,0,1,1
dying,1,3,4
dyke,0,1,1
dylan,0,1,1
dyrus,0,1,1
e2s,0,1,1
each,4,17,21
eager,0,2,2
eagleonetowanta,0,1,1
ear,0,1,1
earlier,0,2,2
early,1,6,7
earn,0,1,1
earned,0,3,3
ears,1,3,4
earth,1,9,10
earthy,1,0,1
ease,0,1,1
easier,1,1,2
easily,0,9,9
east,0,2,2
easy,0,10,10
eat,3,13,16
eaten,0,1,1
eating,2,7,9
eats,0,3,3
ec,0,1,1
echelons,0,1,1
echo,0,1,1
econ,0,1,1
economic,0,1,1
economics,0,2,2
economy,1,9,10
ecstasy,1,0,1
ect,2,0,2
ed,0,9,9
edd,0,1,1
eddandflow,1,0,1
eddie,0,1,1
edges,0,1,1
edgy,0,1,1
edition,0,1,1
editor,0,3,3
editorial,0,1,1
editors,0,2,2
educate,0,4,4
educated,0,7,7
educating,0,1,1
education,1,5,6
educational,1,0,1
eff,1,0,1
effect,1,5,6
effected,0,3,3
effective,0,3,3
effectively,0,1,1
eg,0,1,1
egg,1,0,1
egghead,1,0,1
ego,0,1,1
egomaniac,0,1,1
egregious,0,1,1
egypt,1,0,1
eh,0,3,3
ehave,1,0,1
eighjt,0,1,1
eight,0,1,1
eights,0,1,1
ein,0,1,1
eirc,0,1,1
either,3,31,34
ejected,0,1,1
el,0,1,1
elder,0,2,2
elderly,0,2,2
elect,0,4,4
elected,2,18,20
electing,0,1,1
election,0,21,21
elections,0,5,5
electoral,1,0,1
electors,0,1,1
elevating,1,0,1
elicit,0,1,1
eliminate,0,4,4
eliminated,0,1,1
elimination,0,1,1
elison,0,1,1
elite,1,3,4
elites,0,2,2
elitist,2,0,2
elitists,0,2,2
ellen,0,2,2
ellison,0,8,8
elo,0,1,1
elon,0,1,1
else,5,30,35
elsewhere,0,2,2
elves,0,1,1
em,3,12,15
email,0,1,1
emails,0,4,4
emanuel,0,2,2
embarassed,0,1,1
embarrassed,0,3,3
embarrassing,0,5,5
embarrassment,1,8,9
embedded,0,1,1
embezzeled,0,1,1
embezzlement,0,1,1
embrace,0,1,1
embraced,0,1,1
embraces,0,1,1
embracing,0,1,1
emerge,0,1,1
emergency,0,3,3
eminem,0,1,1
emissions,1,0,1
emma,0,1,1
emmys,0,3,3
emoji,1,0,1
emotion,0,2,2
emotional,0,3,3
emotionally,0,1,1
emotions,1,3,4
empathy,0,4,4
emphasis,0,1,1
employ,0,1,1
employee,0,1,1
employees,0,2,2
empowered,0,1,1
empowering,0,1,1
emptiness,0,1,1
empty,0,10,10
en,1,0,1
enabled,0,1,1
enabler,0,1,1
enabling,0,1,1
enact,0,2,2
enacted,0,1,1
encore,0,1,1
encourage,0,1,1
encouraged,0,2,2
end,3,31,34
endangerment,0,1,1
endangers,0,1,1
endcorruption,0,1,1
endculturalmarxism,0,1,1
endeavors,0,1,1
ended,2,4,6
ending,0,1,1
endless,0,3,3
endorse,0,2,2
endorsement,0,2,2
endorses,0,1,1
endpc,0,1,1
ends,0,5,5
enemies,0,5,5
enemy,0,6,6
enemyofthepeople,0,1,1
energy,0,4,4
enforce,0,4,4
enforced,0,2,2
enforcement,2,10,12
engage,0,2,2
engineering,0,1,1
england,1,4,5
english,0,2,2
engrained,0,1,1
enjoy,1,4,5
enjoyed,0,2,2
enjoying,0,3,3
enough,10,48,58
enoughisenough,0,1,1
enslave,1,0,1
enslavement,1,0,1
ensure,0,1,1
entertain,1,2,3
entertainers,0,1,1
entertaining,0,2,2
entire,1,14,15
entirely,0,1,1
entities,1,0,1
entitled,1,3,4
entity,0,1,1
entropy,0,1,1
enuf,0,1,1
environment,1,5,6
envy,0,1,1
epic,1,2,3
epidemic,0,1,1
epiphany,0,1,1
episode,1,0,1
epithats,0,1,1
epitome,0,1,1
epitomizes,0,1,1
epson,0,1,1
equal,1,1,2
equality,0,1,1
equally,0,1,1
equals,1,0,1
equate,0,2,2
equivalency,0,2,2
equivalent,0,1,1
er,1,2,3
era,0,1,1
erased,0,1,1
erasing,0,1,1
erect,0,1,1
ergnews,0,1,1
eric,3,17,20
erick,0,2,2
erickson,0,2,2
erin,1,0,1
ernie,0,3,3
ernieandbert,0,1,1
err,0,1,1
ers,0,1,1
es,0,2,2
escape,0,4,4
escaped,1,1,2
escapes,0,1,1
escort,0,2,2
esp,0,1,1
especially,0,7,7
especiallysen,0,1,1
espically,0,1,1
espn,0,2,2
esport,0,2,2
espouse,0,2,2
espouses,0,1,1
essential,0,2,2
essentially,1,0,1
est,0,1,1
established,0,1,1
establishment,1,3,4
estate,0,1,1
esteem,0,1,1
estoy,0,1,1
et,0,1,1
etat,1,1,2
etc,0,15,15
etf,0,2,2
ethical,0,1,1
ethically,0,1,1
ethics,1,2,3
eu,2,6,8
euphemisms,0,1,1
euro,0,1,1
europe,0,5,5
european,0,3,3
europeans,0,1,1
evaluate,0,1,1
evan,0,3,3
evangelical,1,0,1
evangelicals,1,1,2
evangelist,0,1,1
evasion,0,2,2
eve,0,1,1
eveb,0,1,1
even,16,124,140
evening,0,1,1
event,0,1,1
events,0,6,6
eventuality,0,1,1
eventually,0,4,4
ever,9,60,69
evert,0,1,1
every,9,62,71
every1,0,1,1
everybody,0,4,4
everybodyin,0,1,1
everyday,1,7,8
everyone,9,55,64
everything,5,48,53
everytown,0,1,1
everyway,0,1,1
everywhere,1,6,7
eveything,0,1,1
evict,0,1,1
evidence,1,18,19
evidenced,1,0,1
evident,0,1,1
evidently,0,2,2
evil,7,32,39
evilest,0,1,1
evilness,0,1,1
evolution,0,2,2
ewu,0,1,1
ex,2,4,6
exact,0,6,6
exactly,3,19,22
exaggeration,0,1,1
example,1,11,12
examples,0,1,1
excellent,0,1,1
except,0,19,19
exceptions,0,1,1
exchange,0,1,1
excited,0,1,1
exciting,0,2,2
exclude,0,1,1
excluding,0,2,2
exclusively,0,1,1
excommunicate,0,1,1
excuse,2,12,14
excused,0,1,1
excuses,0,3,3
executed,0,1,1
executes,0,1,1
executioners,0,1,1
executive,0,1,1
exempt,1,0,1
exercise,0,1,1
exhibit,0,1,1
exhortation,0,1,1
exis,1,0,1
exist,0,3,3
existed,0,1,1
existence,1,6,7
existent,0,1,1
existing,1,1,2
exists,0,2,2
exorcism,1,0,1
expand,0,1,1
expect,0,12,12
expected,0,5,5
expecting,0,4,4
expectus,0,1,1
expense,0,1,1
expensive,1,1,2
experience,1,9,10
experienced,0,2,2
expert,0,2,2
experts,1,0,1
expired,1,0,1
explain,1,7,8
explained,0,1,1
explaining,0,1,1
explains,0,4,4
explanation,0,2,2
explicitly,0,1,1
explode,0,3,3
explodes,0,1,1
exploding,0,1,1
expose,0,5,5
exposed,0,7,7
exposer,0,1,1
exposes,0,1,1
exposing,0,1,1
exposure,0,1,1
expressed,0,1,1
expressing,0,3,3
expressions,1,1,2
extension,0,2,2
extent,0,2,2
exterminate,1,0,1
exterminated,1,0,1
extra,1,3,4
extrajudicial,0,1,1
extrapolate,0,1,1
extreme,1,2,3
extremely,0,7,7
extremism,0,1,1
extremists,1,2,3
eye,0,7,7
eyebrow,0,1,1
eyed,0,2,2
eyes,4,9,13
ezra,0,1,1
fabric,1,0,1
fabricated,1,0,1
facade,0,1,1
face,1,30,31
facebook,0,1,1
faced,0,2,2
facelifted,0,1,1
faces,0,4,4
facetious,0,1,1
facial,1,1,2
facilitated,0,1,1
facing,0,2,2
facism,0,2,2
facist,2,2,4
facsists,0,1,1
fact,2,28,30
faction,0,1,1
factor,0,2,2
factory,0,2,2
facts,1,22,23
factual,0,1,1
fade,0,1,1
fae,0,1,1
faerie,0,1,1
faggot,0,1,1
fail,0,7,7
failed,0,9,9
failing,0,4,4
fails,0,2,2
failure,0,12,12
fair,0,7,7
fairly,0,1,1
fairness,0,2,2
fairways,0,1,1
faith,0,1,1
fake,8,59,67
faked,0,3,3
fakedrugwar,0,1,1
fakefeminist,0,1,1
fakejournalists,0,1,1
fakeness,0,1,1
fakenews,1,9,10
fakenewsmedia,0,1,1
fakeoutrage,0,1,1
fakes,0,2,2
fakeuberdriver,0,1,1
faking,0,1,1
fakir,0,1,1
fall,1,11,12
falling,0,3,3
fallon,0,1,1
false,1,22,23
falsehood,0,2,2
falsehoods,0,1,1
falsely,1,2,3
falsified,0,1,1
fam,0,3,3
fame,0,2,2
familes,0,1,1
familiar,0,2,2
families,0,4,4
family,1,27,28
famous,0,4,4
fan,2,9,11
fanatical,1,0,1
fanbase,0,1,1
fanboy,0,1,1
fancy,0,2,2
fanniegate,0,2,2
fanniemae,0,1,1
fans,0,13,13
fantasies,0,1,1
fantasize,0,1,1
fantastic,1,2,3
fantasy,1,0,1
far,3,45,48
farakans,0,1,1
farce,0,1,1
farm,1,1,2
farmers,1,0,1
farms,0,1,1
farrakahn,0,1,1
farrakhan,0,6,6
farright,0,1,1
fart,0,2,2
farwell,0,1,1
fascism,0,6,6
fascist,3,37,40
fascists,0,16,16
fash,1,0,1
fashion,1,1,2
fashionable,0,1,1
fashioned,0,1,1
fashy,0,1,1
fast,2,11,13
fastest,0,2,2
fat,2,20,22
fatally,0,2,2
fatbastard,0,1,1
fate,0,1,1
father,0,12,12
fathers,0,1,1
fatnixon,0,1,1
fatties,0,1,1
fatty,0,1,1
fault,1,17,18
faulted,0,1,1
faulty,0,1,1
faux,0,3,3
favor,1,6,7
favorite,1,5,6
favorites,0,1,1
favourite,1,1,2
fawning,0,2,2
fawningly,0,1,1
fb,0,2,2
fbi,1,16,17
fbs,0,1,1
fck,0,1,1
fear,0,11,11
fearful,0,1,1
fearing,0,1,1
fearless,0,1,1
fears,0,2,2
february,0,1,1
fecal,0,1,1
feckers,0,1,1
fecking,0,1,1
fed,0,6,6
federal,2,5,7
federer,1,0,1
feeble,0,1,1
feed,0,7,7
feedback,0,1,1
feeder,0,1,1
feeders,0,1,1
feeding,1,1,2
feeds,0,1,1
feel,6,36,42
feeling,2,8,10
feelings,1,4,5
feels,2,2,4
fees,0,2,2
feet,1,5,6
feign,0,1,1
feinstein,0,9,9
feinstinkle,0,1,1
felicia,0,1,1
fell,1,1,2
fellow,0,4,4
felon,0,1,1
felons,0,3,3
felony,0,1,1
felt,1,5,6
fema,0,3,3
female,1,10,11
femanazis,0,1,1
feminazi,0,1,1
feminazis,0,1,1
feminism,0,1,1
feminist,0,7,7
feminists,0,3,3
fence,0,1,1
fend,2,1,3
fer,0,1,1
ferguson,0,2,2
ferrari,0,1,1
few,1,16,17
fewer,0,1,1
ff8,0,1,1
ffl,0,1,1
ffs,0,3,3
fiberals,0,1,1
fic,1,0,1
fiction,1,0,1
field,1,4,5
fielding,0,1,1
fienstine,1,0,1
fierce,0,1,1
fifth,0,1,1
fig,0,1,1
fight,2,29,31
fighter,0,1,1
fighting,1,9,10
figure,1,8,9
figured,0,1,1
figures,0,5,5
file,0,1,1
filed,0,1,1
fill,1,3,4
filled,0,7,7
film,0,1,1
films,0,1,1
filth,0,1,1
filthy,0,4,4
final,0,3,3
finally,3,11,14
finance,0,1,1
financed,0,1,1
finances,0,1,1
financial,1,0,1
financials,0,1,1
find,3,26,29
finding,1,3,4
finds,0,2,2
fine,7,13,20
fined,0,3,3
finest,0,2,2
finestine,0,1,1
finger,0,2,2
fingertips,0,1,1
finish,0,2,2
finished,0,2,2
fink,0,1,1
finna,0,1,1
fire,2,14,16
firearm,0,2,2
firearms,1,4,5
fireball,0,1,1
firebombing,0,1,1
fired,2,10,12
firemalyoung,0,1,1
firemorningjoe,0,1,1
firing,0,1,1
firm,0,2,2
firs,0,1,1
first,5,49,54
fisa,0,3,3
fish,0,1,1
fisheries,0,1,1
fishermen,0,1,1
fist,0,2,2
fit,0,12,12
fits,0,3,3
fitted,0,1,1
fitting,0,1,1
five,0,1,1
fix,4,7,11
fixed,1,1,2
fixing,0,1,1
fjshdhjs,0,1,1
fk,0,1,1
fkn,0,1,1
fl,0,2,2
flabby,0,1,1
flag,2,5,7
flags,0,3,3
flake,0,9,9
flakey,0,1,1
flaky,0,1,1
flame,0,1,1
flames,0,2,2
flaming,0,1,1
flanking,0,1,1
flashes,0,1,1
flashing,0,2,2
flat,0,2,2
flawed,0,2,2
flaws,0,1,1
fleas,0,1,1
fled,0,1,1
fleeted,0,1,1
flesh,1,0,1
flick,0,2,2
flies,0,1,1
flint,0,1,1
flip,0,2,2
flirting,0,1,1
floatin,0,1,1
flock,0,1,1
flooded,0,1,1
floor,0,2,2
florence,1,3,4
florida,0,2,2
floris,0,1,1
floss,0,1,1
flotus,0,1,1
flowers,1,0,1
fluffs,0,1,1
fluffy,0,1,1
flush,1,1,2
flushes,0,1,1
flushing,0,1,1
fly,1,0,1
flying,1,0,1
flynn,0,1,1
fmcc,0,1,1
fnma,0,1,1
focus,0,3,3
focused,0,1,1
focusing,0,2,2
fodder,0,1,1
foh,0,1,1
fold,0,2,2
folk,0,3,3
folks,4,14,18
follow,0,26,26
followed,1,5,6
follower,0,2,2
followers,1,6,7
following,2,8,10
follows,0,1,1
folly,0,1,1
fond,0,1,1
fonda,0,3,3
fondly,0,1,1
food,1,2,3
foodie,0,1,1
fool,2,29,31
fooled,0,3,3
fooling,0,1,1
foolish,0,3,3
foolishly,0,1,1
foolishness,0,1,1
fooln,0,1,1
fools,1,11,12
foot,0,5,5
football,1,8,9
footing,0,1,1
footsteps,0,2,2
for,72,777,849
forbid,0,2,2
force,0,5,5
forced,0,7,7
forces,0,4,4
forcing,0,3,3
ford,0,24,24
fordnation,1,0,1
fords,0,1,1
forefathers,0,1,1
forehead,0,1,1
foreign,0,6,6
foresight,0,2,2
forever,0,7,7
forget,1,20,21
forgetting,1,1,2
forging,0,1,1
forgive,0,2,2
forgiving,0,1,1
forgot,0,9,9
forgotten,0,3,3
form,0,15,15
formally,0,1,1
format,1,0,1
formed,0,1,1
former,0,8,8
fornicate,0,1,1
forosity,0,1,1
forsaken,0,1,1
fort,0,3,3
fortitude,0,2,2
fortnite,0,2,2
forttrump,0,3,3
fortunate,1,1,2
fortunately,0,1,1
fortunes,0,1,1
forward,1,9,10
foster,0,1,1
fought,0,2,2
foul,0,4,4
foulmouthed,1,0,1
found,3,16,19
founders,0,1,1
founding,0,1,1
four,0,3,3
foward,0,1,1
fox,2,7,9
foxhunting,0,1,1
foxnews,0,3,3
foxy,1,0,1
fr,1,1,2
fraction,0,2,2
framework,0,1,1
framing,0,1,1
france,0,1,1
franchise,0,1,1
francis,0,3,3
francoism,0,1,1
franken,0,1,1
frankly,1,1,2
frankoz,0,1,1
fraud,0,20,20
frauds,0,2,2
fraudulent,0,3,3
freak,0,3,3
freaked,0,1,1
freakin,0,2,2
freaking,1,8,9
freaks,0,2,2
freakyford,0,1,1
fredo,0,1,1
free,3,36,39
freealexjones,0,1,1
freedom,1,6,7
freedoms,0,3,3
freely,0,1,1
freeze,0,1,1
french,0,2,2
frenkenstien,0,1,1
frenzy,0,1,1
frequent,0,1,1
fresh,0,2,2
freshman,0,1,1
freshmen,0,1,1
frfr,1,0,1
fricking,0,2,2
friday,0,2,2
fridayfeeling,0,1,1
fridge,0,1,1
friend,0,12,12
friends,0,17,17
friggen,0,2,2
frightened,0,1,1
frightening,0,1,1
friken,0,1,1
fringe,1,2,3
fringes,0,1,1
frogs,0,1,1
from,29,239,268
front,0,2,2
frontline,0,1,1
frothing,0,1,1
frozen,0,1,1
fruitcake,0,1,1
fruitful,0,1,1
fruits,0,1,1
frustration,1,1,2
fry,1,0,1
fsu,0,2,2
fu,0,1,1
fubar,0,2,2
fuck,39,130,169
fuckass,0,1,1
fuckbucket,0,1,1
fucked,5,23,28
fucken,1,4,5
fucker,0,6,6
fuckers,0,2,2
fuckeu,0,1,1
fuckidng,0,1,1
fuckig,0,1,1
fuckin,7,4,11
fucking,41,88,129
fuckingclass,0,1,1
fuckinggg,1,0,1
fuckingndbs,1,0,1
fuckkk,0,1,1
fuckoff,1,1,2
fucks,2,2,4
fucktards,0,1,1
fuckwits,0,1,1
fudge,0,1,1
fuel,0,1,1
fueling,0,1,1
fuk,0,1,1
fuken,0,1,1
fukin,1,0,1
fukn,0,1,1
full,5,34,39
fullest,0,2,2
fully,1,7,8
fun,1,17,18
fund,0,11,11
fundamentally,0,1,1
funded,0,7,7
funding,1,4,5
funds,0,5,5
funeral,0,1,1
funnier,1,0,1
funniest,0,1,1
funny,3,37,40
funnyhejs,1,0,1
fur,0,1,1
furious,1,7,8
furniture,0,1,1
furries,0,1,1
further,0,8,8
furthers,0,2,2
fusion,0,1,1
fuss,0,1,1
future,2,7,9
fuuckkkk,0,1,1
fuuun,0,1,1
fvkk,0,1,1
fyi,0,1,1
ga,1,0,1
gadarenes,0,1,1
gaff,0,1,1
gag,1,1,2
gaga,0,1,1
gail,1,0,1
gain,0,6,6
gained,1,0,1
gaining,0,1,1
gal,0,2,2
gale,0,1,1
gallery,0,1,1
gallivanting,0,1,1
gambled,0,1,1
game,9,19,28
games,2,7,9
gamestopcontest,0,1,1
gang,3,5,8
gangs,0,1,1
gangsta,0,1,1
garbage,1,19,20
garland,0,2,2
gary,0,1,1
garynuman,0,1,1
gas,0,2,2
gases,0,1,1
gaslighting,0,2,2
gassed,0,1,1
gasses,0,1,1
gated,0,1,1
gathering,0,1,1
gatlin,0,1,1
gauge,0,2,2
gave,1,14,15
gavin,0,1,1
gawd,0,2,2
gay,1,16,17
gayer,0,1,1
gays,0,1,1
gd,0,1,1
gdp,0,2,2
gdtrial,0,1,1
ge,0,1,1
ge2018,0,1,1
gee,0,1,1
geeezzz,0,1,1
geeta,0,1,1
gem,0,1,1
gems,0,1,1
gen,0,2,2
gender,0,3,3
genders,0,1,1
general,0,6,6
generalizations,0,1,1
generally,0,2,2
generate,0,1,1
generation,1,2,3
generations,0,3,3
genitalia,1,1,2
genius,0,3,3
geno,0,1,1
genocide,0,1,1
genuine,0,1,1
genuinely,0,2,2
george,1,6,7
georgia,1,0,1
geraniuminthecranium,0,1,1
german,1,0,1
germanistan,0,1,1
germans,0,1,1
germany,0,2,2
germs,0,1,1
gerrymandering,0,1,1
gestapo,0,1,1
gesture,0,4,4
get,23,226,249
geter,0,1,1
gets,2,28,30
gettimg,0,1,1
getting,8,50,58
gettough,0,1,1
gf,0,1,1
gfy,0,1,1
gggrrr,0,1,1
ghetto,0,1,1
ghettos,0,1,1
giant,0,1,1
gif,0,1,1
gift,0,3,3
gifted,0,1,1
gilead,1,0,1
giles,0,1,1
gilliam,0,1,1
gillibrand,0,1,1
gilmour,0,1,1
gimmie,1,0,1
ginning,0,1,1
girl,5,27,32
girlfriend,1,0,1
girlfriends,0,1,1
girls,1,6,7
gita,0,2,2
gitmo,0,5,5
give,8,56,64
given,0,7,7
gives,3,7,10
giving,0,11,11
glad,3,14,17
gladly,0,2,2
glance,1,0,1
glands,0,1,1
glaring,0,1,1
glasses,0,2,2
gloating,0,1,1
global,1,2,3
globalist,1,5,6
globalists,0,1,1
globalization,0,1,1
glock,0,1,1
glorious,0,1,1
glory,0,1,1
gloss,0,1,1
gloves,0,1,1
gm,0,1,1
go,12,157,169
goal,2,6,8
goalkeeping,0,1,1
goals,0,1,1
goat,0,3,3
god,6,66,72
godblessamerica,0,1,1
godblessourmilitary,0,1,1
godblesstheworld,0,1,1
goddamn,0,1,1
goddess,0,2,2
godless,0,2,2
gods,1,2,3
godsend,0,1,1
goers,0,2,2
goes,3,17,20
goff,0,2,2
gofundme,0,1,1
going,8,133,141
golan,0,1,1
gold,0,2,2
golden,0,1,1
goldendawn,0,1,1
golding,1,0,1
goldsmith,0,1,1
goldy,0,1,1
golf,0,2,2
golfing,0,1,1
gon,0,1,1
gone,2,12,14
gonna,7,27,34
gonzalez,0,1,1
goo,0,1,1
good,16,136,152
goodby,0,1,1
goodell,2,3,5
goodest,0,1,1
goodness,0,1,1
goodwin,0,1,1
goofball,0,1,1
google,1,5,6
googlearecorrupt,0,1,1
googlecide,0,1,1
googlesplaining,0,1,1
goonies,0,1,1
goons,0,2,2
goose,0,2,2
gop,3,40,43
goper,0,1,1
gophypocrites,0,1,1
goptaxscam,0,1,1
gor,0,1,1
gordon,1,4,5
gore,0,3,3
gorgeous,0,2,2
gorsuch,0,1,1
gosh,1,1,2
gospel,0,1,1
got,8,61,69
gotcha,0,1,1
gotta,2,10,12
gotten,2,0,2
gotv,0,1,1
gov,1,7,8
govegan,0,1,1
goverment,0,2,2
govern,0,1,1
governance,0,1,1
government,2,45,47
governmental,1,0,1
governments,0,2,2
governor,0,2,2
govoner,0,1,1
govt,1,5,6
gps,0,1,1
graaawrl,0,1,1
grab,2,9,11
grabbed,0,2,2
grabber,0,2,2
grabbers,0,1,1
grabbing,0,3,3
graced,0,1,1
graces,0,1,1
gracious,0,1,1
grade,0,2,2
grader,1,2,3
grades,0,1,1
graffiti,0,1,1
graham,0,2,2
grammar,0,1,1
grand,0,3,3
grandfather,0,1,1
grandmother,0,1,1
grandstanding,0,1,1
grandstands,0,1,1
grannies,0,2,2
granny,0,1,1
grant,0,2,2
granth,0,1,1
grapple,0,1,1
grasp,0,2,2
grasping,0,1,1
grateful,0,2,2
grave,0,2,2
graves,0,1,1
gravy,0,1,1
greasy,0,2,2
great,7,57,64
greatawakening,0,4,4
greatawakeningworldwide,0,1,1
greater,0,1,1
greatest,2,2,4
greatestthingsaboutthe90s,0,1,1
greatly,0,1,1
greatness,0,1,1
greats,0,1,1
greed,0,1,1
greedy,0,3,3
green,0,1,1
greenhouse,0,1,1
greenie,1,0,1
greenish,0,1,1
gregg,0,1,1
grenfell,0,1,1
grew,1,3,4
grid,0,1,1
grief,0,2,2
grieving,0,2,2
griffin,0,1,1
grim,0,1,1
grins,0,1,1
grip,0,2,2
grips,0,1,1
grocery,0,1,1
groggy,1,0,1
grok,0,1,1
grop,0,1,1
groped,1,2,3
groper,0,1,1
groping,0,2,2
gropy,0,1,1
gross,2,3,5
grotesquely,0,1,1
ground,1,5,6
grounds,0,1,1
group,3,24,27
groups,2,17,19
groveled,0,1,1
grow,0,6,6
growing,0,3,3
grown,0,6,6
growth,0,4,4
grubbing,0,1,1
gruber,0,1,1
grudge,0,1,1
gt,1,17,18
gtfo,0,2,2
gtmo,0,1,1
guarantee,0,1,1
guard,0,1,1
guarding,1,0,1
guess,2,25,27
guesses,0,1,1
guessing,0,1,1
guests,0,2,2
guidance,0,1,1
guide,0,1,1
guided,0,3,3
guillotines,0,1,1
guilt,0,1,1
guilty,1,25,26
gullible,0,4,4
gullibles,0,1,1
gum,0,1,1
gun,62,445,507
guncontrol,1,2,3
guncontrolnow,0,1,1
gungrabber,0,1,1
gunna,0,2,2
gunned,0,2,2
gunrights,0,1,1
guns,11,48,59
gunsense,0,4,4
gunsensecandidates,0,1,1
guterriz,0,1,1
gutierrez,0,5,5
gutierries,0,1,1
gutless,0,2,2
guts,1,2,3
guy,2,66,68
guys,0,20,20
gvt,0,1,1
gypsy,0,1,1
gz,0,1,1
h3,0,1,1
h3ll,0,1,1
ha,1,6,7
haa,0,1,1
haaaaaa,0,1,1
habits,0,1,1
habs,1,0,1
hack,0,5,5
hacked,0,2,2
hackers,0,1,1
hacks,0,2,2
had,12,78,90
hadn,0,2,2
hah,1,0,1
haha,3,8,11
hahaha,1,5,6
hahahah,0,2,2
hahahaha,0,1,1
hahahahaha,0,2,2
hahahahahaha,0,1,1
hahahahahahahaha,0,1,1
hahahahahha,0,1,1
hair,0,5,5
hairball,0,1,1
haiti,0,1,1
half,2,17,19
hall,0,4,4
hallmark,0,1,1
hallo,0,1,1
halper,0,1,1
halt,0,1,1
hammer,0,3,3
hamstrung,1,0,1
han,0,1,1
hand,3,19,22
handbook,0,1,1
handcuffs,0,1,1
handcuffsforhillary,0,1,1
handed,0,3,3
handguns,0,1,1
handing,0,1,1
handle,1,7,8
handled,0,2,2
handlers,0,1,1
handling,0,3,3
handouts,0,1,1
hands,2,11,13
hang,0,7,7
hanghim,0,1,1
hangin,1,0,1
hanging,0,2,2
hank,0,1,1
hannity,0,3,3
hanoijane,0,1,1
hans,0,1,1
happen,3,20,23
happened,1,27,28
happening,1,9,10
happens,2,10,12
happily,0,1,1
happy,3,11,14
harass,0,1,1
harassed,0,2,2
harassing,0,1,1
harassment,0,5,5
hard,1,31,32
hardball,0,1,1
hardcore,0,4,4
harden,0,2,2
harder,0,2,2
hardly,0,3,3
hardy,0,1,1
harm,0,3,3
harmed,0,1,1
harmless,0,1,1
harms,0,2,2
harrasses,0,1,1
harris,0,3,3
harrowing,0,1,1
harvey,0,1,1
harwood,0,1,1
has,29,245,274
hasenpfeffer,0,1,1
hasn,1,4,5
hasten,0,1,1
hasty,0,1,1
hat,2,9,11
hatch,0,2,2
hate,7,91,98
hated,0,7,7
hateful,0,13,13
hatefulness,1,0,1
hater,0,1,1
haters,0,6,6
haterz,0,1,1
hates,0,12,12
hating,0,4,4
hatred,1,13,14
hats,0,5,5
haul,0,1,1
hauled,1,0,1
hav,0,1,1
havana,0,1,1
have,43,477,520
haven,1,4,5
havent,0,1,1
havin,0,1,1
having,5,23,28
haw,0,1,1
hawaii,0,1,1
hayes,0,1,1
hazel,0,1,1
hc,0,1,1
he,61,1080,1141
head,3,30,33
headed,0,3,3
headgear,1,0,1
heading,0,1,1
headline,1,1,2
heads,1,10,11
healer,0,1,1
healing,0,2,2
health,0,15,15
healthcare,2,7,9
healthy,0,4,4
hear,2,26,28
heard,1,13,14
hearing,2,13,15
hearings,0,6,6
hears,0,2,2
heart,1,10,11
heartbeat,0,1,1
hearted,0,2,2
heartless,1,0,1
hearts,0,1,1
heat,1,0,1
heats,0,1,1
heaven,0,1,1
